player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average,percentage
Mashrafe Mortaza,Batter,1304,8.104.412.678.682.410,1609,227,7441,8756,343,343,0,134,209,9,Bangladesh,5.744.493.392.070.480,"447,03%"
M van Lingen,Batter,1300,9.015.256.588.072.120,1442,2,65,76,55,55,0,26,29,4,Namibia,650,"472,90%"
HH Dippenaar,Batter,1283,674.198.633.736.206,1903,0,0,0,445,445,0,272,173,7,South Africa,0,"402,57%"
LPC Silva,Batter,1279,7.085.872.576.177.280,1805,1,34,44,496,496,0,231,265,1,Sri Lanka,1279,"414,59%"
Fargana Hoque,Batter,1275,49.399.457.574.583.400,2581,0,0,0,333,333,0,130,203,1,Bangladesh,0,"330,40%"
DR Smith,Batter,1261,8.818.181.818.181.810,1430,53,1888,2257,426,426,0,165,261,3,West Indies,2.379.245.283.018.860,"468,60%"
Sabbir Rahman,Batter,1259,9.025.089.605.734.760,1395,3,337,289,335,335,0,132,203,0,Bangladesh,4.196.666.666.666.660,"474,38%"
C Munro,Batter,1249,10.347.970.173.985.000,1207,9,483,563,439,439,0,228,211,0,New Zealand,13.877.777.777.777.700,"507,93%"
JD Ryder,Batter,1242,9.598.145.285.935.080,1294,11,357,359,435,435,0,226,209,3,New Zealand,1.129.090.909.090.900,"489,55%"
RR Rossouw,Batter,1239,9.239.373.601.789.700,1341,1,44,46,451,451,0,277,174,1,South Africa,1239,"480,05%"
GC Wilson,Batter,1232,7.453.115.547.489.410,1653,0,0,0,164,164,0,60,104,1,Ireland,0,"426,89%"
Imran Farhat,Batter,1232,6.453.640.649.554.740,1909,2,44,51,467,467,0,226,241,1,Pakistan,616,"392,11%"
MJ Prior,Batter,1229,7.439.467.312.348.660,1652,0,0,0,503,503,0,288,215,1,England,0,"426,14%"
DP Conway,Batter,1226,8.695.035.460.992.900,1410,0,0,0,431,431,0,224,207,3,New Zealand,0,"464,22%"
IK Pathan,Batter,1226,7.919.896.640.826.870,1548,156,4419,5050,563,563,0,348,215,5,India,7.858.974.358.974.350,"441,48%"
PG Fulton,Batter,1216,7.045.191.193.511.000,1726,0,0,0,443,443,0,231,212,3,New Zealand,0,"412,90%"
Shahriar Nafees,Batter,1216,6.692.350.027.517.880,1817,0,0,0,345,345,0,134,211,3,Bangladesh,0,"400,79%"
Aliya Riaz,Batter,1207,6.366.033.755.274.260,1896,13,806,894,463,463,0,223,240,1,Pakistan,9.284.615.384.615.380,"388,73%"
RS Morton,Batter,1205,6.436.965.811.965.810,1872,0,2,6,408,408,0,157,251,2,West Indies,0,"391,49%"
TP Ura,Batter,1196,783.748.361.730.013,1526,0,12,6,63,63,0,12,51,1,Papua New Guinea,0,"439,06%"
Vikramjit Singh,Batter,1190,7.033.096.926.713.940,1692,7,261,257,90,90,0,29,61,2,Netherlands,170,"412,19%"
Mehedi Hasan Miraz,Batter,1188,783.641.160.949.868,1516,107,3511,4240,336,336,0,132,204,5,Bangladesh,11.102.803.738.317.700,"438,86%"
K Bhurtel,Batter,1182,7.890.520.694.259.010,1498,12,292,361,65,65,0,33,32,3,Nepal,98.5,"441,04%"
Raqibul Hasan,Batter,1177,61.623.036.649.214.600,1910,0,0,0,337,337,0,132,205,0,Bangladesh,0,"380,78%"
A Gardner,Batter,1175,10.059.931.506.849.300,1168,103,2068,3018,527,527,0,367,160,4,Australia,11.407.766.990.291.200,"501,07%"
Nida Dar,Batter,1171,656.390.134.529.148,1784,62,2224,2917,463,463,0,223,240,2,Pakistan,18.887.096.774.193.500,"396,14%"
SA Campbelle,Batter,1167,59.907.597.535.934.200,1948,4,130,195,420,420,0,163,257,1,West Indies,291.75,"374,40%"
Nazmul Hossain Shanto,Batter,1165,7.995.881.949.210.700,1457,1,59,72,329,329,0,127,202,2,Bangladesh,1165,"444,15%"
KJ Martin,Batter,1161,755.859.375,1536,0,0,0,426,426,0,222,204,1,New Zealand,0,"429,84%"
Asif Khan,Batter,1155,8.099.579.242.636.740,1426,0,0,0,99,99,0,34,65,4,United Arab Emirates,0,"447,33%"
MD Shanaka,Batter,1153,8.754.745.634.016.700,1317,22,844,938,498,498,0,231,267,1,Sri Lanka,5.240.909.090.909.090,"466,80%"
Nahida Khan,Batter,1121,6.369.318.181.818.180,1760,0,12,12,456,456,0,221,235,0,Pakistan,0,"389,10%"
RW Chakabva,Batter,1106,6.703.030.303.030.300,1650,0,0,0,274,274,0,66,208,0,Zimbabwe,0,"400,72%"
L Vincent,Batter,1089,6.836.158.192.090.390,1593,1,22,18,434,434,0,225,209,4,New Zealand,1089,"405,89%"
F Behardien,Batter,1074,9.640.933.572.710.950,1114,12,694,716,463,463,0,284,179,1,South Africa,89.5,"490,41%"
S Samarawickrama,Batter,1073,90.625,1184,0,0,0,495,495,0,230,265,2,Sri Lanka,0,"475,20%"
WW Hinds,Batter,1066,6.555.965.559.655.590,1626,22,515,626,424,424,0,164,260,1,West Indies,4.845.454.545.454.540,"395,69%"
Aftab Ahmed,Batter,1061,7.312.198.483.804.270,1451,4,379,411,344,344,0,134,210,2,Bangladesh,265.25,"421,70%"
CM Edwards,Batter,1054,7.199.453.551.912.560,1464,2,51,48,507,507,0,291,216,4,England,527,"418,25%"
JI Rodrigues,Batter,1051,8.090.839.107.005.380,1299,5,13,39,578,578,0,359,219,2,India,210.2,"447,04%"
FDM Karunaratne,Batter,1044,7.659.574.468.085.100,1363,0,18,16,511,511,0,237,274,1,Sri Lanka,0,"433,73%"
SM Katich,Batter,1041,6.862.228.081.740.270,1517,0,0,0,537,537,0,376,161,0,Australia,0,"406,80%"
MN Waller,Batter,1039,7.512.653.651.482.280,1383,9,497,580,261,261,0,62,199,1,Zimbabwe,11.544.444.444.444.400,"428,98%"
RP Arnold,Batter,1039,6.968.477.531.857.810,1491,8,326,352,509,509,0,236,273,0,Sri Lanka,129.875,"409,86%"
AD Russell,Batter,1034,1.284.472.049.689.440,805,72,2235,2362,426,426,0,165,261,5,West Indies,1.436.111.111.111.110,"561,65%"
Aarif Sheikh,Batter,1032,6.262.135.922.330.090,1648,8,589,762,65,65,0,33,32,2,Nepal,129,"385,07%"
Junaid Siddique,Batter,1021,666.884.389.288.047,1531,77,2137,2575,99,99,0,34,65,0,United Arab Emirates,1.325.974.025.974.020,"400,08%"
KU Carty,Batter,1000,7.593.014.426.727.410,1317,0,28,27,430,430,0,166,264,0,West Indies,0,"431,41%"
KH Prajapati,Batter,996,7.372.316.802.368.610,1351,0,1,2,51,51,0,27,24,1,Oman,0,"424,19%"
C Kieswetter,Batter,985,8.716.814.159.292.030,1130,0,0,0,517,517,0,295,222,1,England,0,"465,50%"
DS Smith,Batter,973,7.055.837.563.451.770,1379,0,17,18,414,414,0,161,253,1,West Indies,0,"413,34%"
JN Malan,Batter,958,8.139.337.298.215.800,1177,0,0,0,458,458,0,282,176,2,South Africa,0,"448,29%"
AJ Blackwell,Batter,953,7.575.516.693.163.750,1258,0,0,0,516,516,0,360,156,2,Australia,0,"430,64%"
CJA Amini,Batter,952,6.161.812.297.734.620,1545,33,1298,1620,63,63,0,12,51,2,Papua New Guinea,28.848.484.848.484.800,"381,26%"
Muneeba Ali,Batter,948,58.918.582.970.789.300,1609,0,0,0,463,463,0,223,240,0,Pakistan,0,"370,75%"
Shaiman Anwar,Batter,947,8.149.741.824.440.610,1162,5,136,117,97,97,0,33,64,0,United Arab Emirates,189.4,"448,39%"
JM How,Batter,939,6.480.331.262.939.950,1449,0,0,0,444,444,0,231,213,3,New Zealand,0,"392,72%"
G Singh,Batter,938,8.121.212.121.212.120,1155,6,97,113,64,64,0,30,34,3,United States of America,15.633.333.333.333.300,"448,16%"
Imad Wasim,Batter,937,10.895.348.837.209.300,860,44,1936,2388,462,462,0,223,239,0,Pakistan,21.295.454.545.454.500,"519,69%"
MG Johnson,Batter,934,9.321.357.285.429.140,1002,243,5977,7537,545,545,0,381,164,6,Australia,3.843.621.399.176.950,"482,44%"
RV Uthappa,Batter,934,8.728.971.962.616.820,1070,0,0,2,573,573,0,356,217,0,India,0,"466,07%"
KOA Powell,Batter,934,7.842.149.454.240.130,1191,0,0,0,427,427,0,165,262,0,West Indies,0,"439,12%"
RR Hendricks,Batter,930,7.679.603.633.360.850,1211,1,47,42,472,472,0,291,181,2,South Africa,930,"433,97%"
Nigar Sultana,Batter,927,4.881.516.587.677.720,1899,0,0,0,333,333,0,130,203,2,Bangladesh,0,"328,03%"
Habibul Bashar,Batter,926,5.541.591.861.160.980,1671,0,0,0,343,343,0,134,209,0,Bangladesh,0,"356,43%"
Chirag Suri,Batter,924,6.277.173.913.043.470,1472,0,0,0,95,95,0,33,62,1,United Arab Emirates,0,"385,48%"
NT Broom,Batter,919,7.868.150.684.931.500,1168,0,0,0,443,443,0,231,212,1,New Zealand,0,"440,13%"
R Powell,Batter,915,8.681.214.421.252.370,1054,3,261,256,425,425,0,164,261,1,West Indies,305,"464,47%"
CP Rizwan,Batter,901,5.727.908.455.181.180,1573,1,51,61,98,98,0,34,64,1,United Arab Emirates,901,"364,04%"
SJ Modani,Batter,898,6.150.684.931.506.840,1460,0,6,12,64,64,0,30,34,1,United States of America,0,"380,19%"
P Litchfield,Batter,895,7.837.127.845.884.410,1142,0,0,0,533,533,0,372,161,4,Australia,0,"438,73%"
BJ McMullen,Batter,888,8.393.194.706.994.320,1058,39,724,1048,85,85,0,46,39,3,Scotland,2.276.923.076.923.070,"456,32%"
Muhammad Usman,Batter,888,7.326.732.673.267.320,1212,0,0,0,95,95,0,33,62,0,United Arab Emirates,0,"422,66%"
Ishan Kishan,Batter,886,995.505.617.977.528,890,0,0,0,553,553,0,341,212,1,India,0,"498,03%"
JWA Taylor,Batter,879,795.475.113.122.172,1105,0,0,0,511,511,0,291,220,3,England,0,"442,60%"
S Bau,Batter,874,5.893.459.204.315.570,1483,13,492,613,63,63,0,12,51,2,Papua New Guinea,6.723.076.923.076.920,"370,65%"
RR Pant,Batter,871,10.295.508.274.231.600,846,0,0,0,576,576,0,357,219,1,India,0,"507,28%"
TT Bresnan,Batter,871,8.851.626.016.260.160,984,120,3879,4300,517,517,0,295,222,0,England,7.258.333.333.333.330,"469,54%"
PD Salt,Batter,866,11.246.753.246.753.200,770,0,0,0,495,495,0,284,211,0,England,0,"528,69%"
DS Airee,Batter,861,7.074.774.034.511.090,1217,46,1287,1919,65,65,0,33,32,2,Nepal,18.717.391.304.347.800,"414,14%"
TD Paine,Batter,861,68.88,1250,0,0,0,521,521,0,363,158,1,Australia,0,"407,09%"
PWH de Silva,Batter,859,1.027.511.961.722.480,836,85,2164,2482,478,478,0,221,257,4,Sri Lanka,10.105.882.352.941.100,"506,49%"
Rameez Shahzad,Batter,848,7.584.973.166.368.510,1118,0,34,34,99,99,0,34,65,1,United Arab Emirates,0,"430,89%"
Shoaib Khan,Batter,843,8.224.390.243.902.430,1025,2,131,146,51,51,0,27,24,2,Oman,421.5,"450,80%"
SSJ Brooks,Batter,842,7.321.739.130.434.780,1150,0,0,0,430,430,0,166,264,2,West Indies,0,"422,48%"
JJ Smit,Batter,839,7.189.374.464.438.730,1167,39,794,1134,54,54,0,25,29,1,Namibia,21.512.820.512.820.500,"418,25%"
CN Nation,Batter,831,5.445.609.436.435.120,1526,0,9,6,428,428,0,165,263,0,West Indies,0,"352,27%"
TM Odoyo,Batter,830,6.910.907.577.019.150,1201,45,1172,1635,38,38,0,13,25,2,Kenya,18.444.444.444.444.400,"408,46%"
VS Solanki,Batter,829,6.943.048.576.214.400,1194,1,80,84,518,518,0,295,223,1,England,829,"409,38%"
VVS Laxman,Batter,828,7.250.437.828.371.270,1142,0,0,0,570,570,0,353,217,2,India,0,"420,30%"
BM Halliday,Batter,828,7.064.846.416.382.250,1172,7,209,223,428,428,0,222,206,0,New Zealand,11.828.571.428.571.400,"413,79%"
AL Phehlukwayo,Batter,827,8.303.212.851.405.620,996,96,3003,3189,470,470,0,290,180,1,South Africa,8.614.583.333.333.330,"453,65%"
SHT Kandamby,Batter,827,6.903.171.953.255.420,1198,2,175,177,510,510,0,237,273,0,Sri Lanka,413.5,"407,99%"
PJ Hughes,Batter,826,738.819.320.214.669,1118,0,0,0,544,544,0,381,163,2,Australia,0,"424,68%"
O Prendergast,Batter,821,7.436.594.202.898.550,1104,18,616,733,162,162,0,58,104,1,Ireland,45.611.111.111.111.100,"426,49%"
W Barresi,Batter,820,762.081.784.386.617,1076,0,13,6,90,90,0,29,61,0,Netherlands,0,"432,49%"
JA Rudolph,Batter,820,6.677.524.429.967.420,1228,0,0,0,445,445,0,272,173,0,South Africa,0,"400,20%"
L Goodall,Batter,817,5.989.736.070.381.230,1364,0,0,0,471,471,0,290,181,1,South Africa,0,"374,26%"
YK Pathan,Batter,810,11.005.434.782.608.600,736,37,1379,1517,579,579,0,360,219,2,India,2.189.189.189.189.180,"521,91%"
MF Maharoof,Batter,799,8.062.563.067.608.470,991,118,3113,3911,510,510,0,237,273,6,Sri Lanka,6.771.186.440.677.960,"445,87%"
AC Voges,Batter,798,8.347.280.334.728.030,956,6,240,247,544,544,0,381,163,2,Australia,133,"454,44%"
JN Loftie-Eaton,Batter,796,7.425.373.134.328.350,1072,22,498,542,55,55,0,26,29,2,Namibia,3.618.181.818.181.810,"425,67%"
SIR Dunkley,Batter,789,7.945.619.335.347.430,993,1,1,4,513,513,0,292,221,2,England,789,"442,76%"
Sharjeel Khan,Batter,787,11.372.832.369.942.100,692,0,0,0,462,462,0,223,239,0,Pakistan,0,"531,76%"
T Brits,Batter,786,6.912.928.759.894.450,1137,0,0,0,453,453,0,278,175,1,South Africa,0,"408,52%"
A Steyn,Batter,781,61.111.111.111.111.100,1278,0,0,0,438,438,0,270,168,1,South Africa,0,"379,13%"
A Hunter,Batter,776,816.842.105.263.158,950,0,0,0,162,162,0,58,104,1,Ireland,0,"449,59%"
SA Yadav,Batter,773,10.292.942.743.009.300,751,0,17,12,553,553,0,341,212,0,India,0,"506,89%"
N Vanua,Batter,769,7.895.277.207.392.190,974,56,1880,2223,63,63,0,12,51,1,Papua New Guinea,13.732.142.857.142.800,"440,44%"
CA Ingram,Batter,761,813.903.743.315.508,935,0,17,6,456,456,0,280,176,3,South Africa,0,"448,44%"
AG Prince,Batter,761,6.758.436.944.937.830,1126,0,3,12,466,466,0,286,180,1,South Africa,0,"403,07%"
Towhid Hridoy,Batter,759,8.547.297.297.297.290,888,0,2,1,327,327,0,127,200,1,Bangladesh,0,"460,56%"
Kushal Malla,Batter,756,8.689.655.172.413.790,870,26,766,1068,65,65,0,33,32,1,Nepal,29.076.923.076.923.000,"464,66%"
MG Bevan,Batter,755,6.414.613.423.959.210,1177,0,0,0,540,540,0,378,162,1,Australia,0,"390,79%"
G Malla,Batter,753,6.576.419.213.973.790,1145,1,18,19,65,65,0,33,32,0,Nepal,753,"396,52%"
L Siaka,Batter,749,7.393.879.565.646.590,1013,3,153,202,62,62,0,12,50,1,Papua New Guinea,24.966.666.666.666.600,"424,60%"
LS Greenway,Batter,732,6.582.733.812.949.640,1112,0,0,0,507,507,0,291,216,2,England,0,"396,75%"
SF Mire,Batter,729,7.722.457.627.118.640,944,11,420,408,277,277,0,66,211,1,Zimbabwe,6.627.272.727.272.720,"435,74%"
H Madavi,Batter,729,666.971.637.694.419,1093,0,33,25,489,489,0,226,263,0,Sri Lanka,0,"399,67%"
Pargat Singh,Batter,722,7.763.440.860.215.050,930,5,84,116,51,51,0,18,33,2,Canada,144.4,"436,52%"
GO Jones,Batter,715,8.097.395.243.488.100,883,0,0,0,518,518,0,295,223,2,England,0,"447,15%"
AT Nidamanuru,Batter,713,912.932.138.284.251,781,0,8,6,86,86,0,25,61,1,Netherlands,0,"476,92%"
SR Mukkamalla,Batter,711,8.286.713.286.713.280,858,0,0,0,62,62,0,29,33,1,United States of America,0,"453,15%"
Mohammad Mithun,Batter,711,75,948,0,12,13,334,334,0,131,203,0,Bangladesh,0,"428,31%"
GD Phillips,Batter,710,9.479.305.740.987.980,749,13,541,547,431,431,0,224,207,1,New Zealand,5.461.538.461.538.460,"485,64%"
R Ashwin,Batter,707,8.507.821.901.323.700,831,166,5228,6358,579,579,0,360,219,3,India,4.259.036.144.578.310,"459,69%"
LJ Wright,Batter,707,8.436.754.176.610.970,838,17,910,1050,517,517,0,295,222,0,England,41.588.235.294.117.600,"456,72%"
JA Morkel,Batter,705,9.697.386.519.944.970,727,50,1736,1900,459,459,0,283,176,3,South Africa,14.1,"492,32%"
SO Tikolo,Batter,705,6.426.618.049.225.150,1097,28,919,1089,38,38,0,13,25,0,Kenya,25.178.571.428.571.400,"391,23%"
NND de Silva,Batter,703,6.607.142.857.142.850,1064,3,228,270,497,497,0,231,266,0,Sri Lanka,23.433.333.333.333.300,"397,62%"
B Sharki,Batter,703,6.503.237.742.830.710,1081,0,8,6,65,65,0,33,32,1,Nepal,0,"394,06%"
BM Duckett,Batter,700,9.817.671.809.256.660,713,0,0,0,487,487,0,280,207,0,England,0,"495,40%"
Kycia A Knight,Batter,699,5.177.777.777.777.770,1350,0,0,0,423,423,0,164,259,0,West Indies,0,"341,14%"
PA Patel,Batter,693,7.839.366.515.837.100,884,0,0,0,567,567,0,350,217,0,India,0,"439,44%"
RM Ghosh,Batter,690,9.019.607.843.137.250,765,0,0,0,556,556,0,344,212,0,India,0,"474,23%"
SW Billings,Batter,690,8.984.375,768,0,0,0,519,519,0,295,224,0,England,0,"473,25%"
ZE Green,Batter,686,786.697.247.706.422,872,0,0,0,55,55,0,26,29,0,Namibia,0,"439,74%"
MS Chapman,Batter,684,10.285.714.285.714.200,665,0,0,0,15,15,0,5,10,2,Hong Kong,0,"507,04%"
HASD Siriwardene,Batter,679,55.976.916.735.366.800,1213,32,1341,1695,497,497,0,231,266,0,Sri Lanka,2.121.875,"358,88%"
Umaima Sohail,Batter,670,6.169.429.097.605.890,1086,18,584,711,463,463,0,223,240,0,Pakistan,3.722.222.222.222.220,"381,11%"
TT Samaraweera,Batter,669,7.319.474.835.886.210,914,1,33,30,500,500,0,232,268,2,Sri Lanka,669,"422,62%"
GWHM Perera,Batter,668,5.675.446.049.277.820,1177,0,0,0,487,487,0,226,261,0,Sri Lanka,0,"361,86%"
YH Bhatia,Batter,666,6.988.457.502.623.290,953,0,0,0,568,568,0,351,217,1,India,0,"411,11%"
CJ Ferguson,Batter,663,8.339.622.641.509.430,795,0,0,0,494,494,0,346,148,1,Australia,0,"454,73%"
RH Priest,Batter,661,8.100.490.196.078.430,816,0,0,0,412,412,0,215,197,0,New Zealand,0,"446,92%"
HJH Marshall,Batter,661,6.744.897.959.183.670,980,0,0,0,441,441,0,229,212,2,New Zealand,0,"402,80%"
L Tucker,Batter,657,7.675.233.644.859.810,856,0,0,0,163,163,0,59,104,0,Ireland,0,"433,66%"
HC Brook,Batter,653,10.549.273.021.001.600,619,0,0,0,487,487,0,280,207,2,England,0,"512,56%"
CA Soper,Batter,653,5.538.592.027.141.640,1179,67,1774,2380,63,63,0,12,51,2,Papua New Guinea,9.746.268.656.716.410,"356,25%"
CK Coventry,Batter,645,8.751.696.065.128.900,737,0,0,0,269,269,0,65,204,1,Zimbabwe,0,"466,71%"
Shafali Verma,Batter,644,7.921.279.212.792.120,813,2,76,87,568,568,0,351,217,0,India,322,"441,40%"
Sharmin Akhter,Batter,643,5.640.350.877.192.980,1140,0,0,0,325,325,0,126,199,2,Bangladesh,0,"360,63%"
MADD Surangika,Batter,642,5.305.785.123.966.940,1210,0,0,0,497,497,0,231,266,0,Sri Lanka,0,"346,65%"
PM Weerakkody,Batter,638,54.436.860.068.259.300,1172,0,0,0,497,497,0,231,266,0,Sri Lanka,0,"352,29%"
Agha Salman,Batter,637,9.769.938.650.306.740,652,15,622,662,461,461,0,222,239,1,Pakistan,4.246.666.666.666.660,"494,18%"
PSP Handscomb,Batter,632,9.634.146.341.463.410,656,0,0,0,542,542,0,380,162,0,Australia,0,"489,92%"
C Green,Batter,626,812.987.012.987.013,770,21,788,841,526,526,0,366,160,2,Australia,2.980.952.380.952.380,"447,46%"
Gulsan Jha,Batter,625,7.557.436.517.533.250,827,30,937,951,63,63,0,31,32,3,Nepal,20.833.333.333.333.300,"430,14%"
Sompal Kami,Batter,621,7.170.900.692.840.640,866,79,2168,2511,65,65,0,33,32,1,Nepal,7.860.759.493.670.880,"417,34%"
JN Mohammed,Batter,621,6.684.607.104.413.340,929,8,342,442,425,425,0,164,261,1,West Indies,77.625,"400,65%"
KT Perkins,Batter,618,7.374.701.670.644.390,838,0,0,0,426,426,0,222,204,0,New Zealand,0,"423,58%"
JN Frylinck,Batter,615,7.365.269.461.077.840,835,36,938,1298,55,55,0,26,29,3,Namibia,17.083.333.333.333.300,"423,85%"
A Bagai,Batter,614,6.170.854.271.356.780,995,0,0,0,49,49,0,16,33,1,Canada,0,"380,66%"
H Thaker,Batter,612,668.122.270.742.358,916,22,617,882,51,51,0,18,33,4,Canada,27.818.181.818.181.800,"400,52%"
JF Mooney,Batter,610,8.176.943.699.731.900,746,37,1119,1242,164,164,0,60,104,0,Ireland,16.486.486.486.486.400,"449,85%"
Khaled Mashud,Batter,605,5.311.676.909.569.790,1139,0,0,0,346,346,0,134,212,0,Bangladesh,0,"346,70%"
PL Mommsen,Batter,601,7.646.310.432.569.970,786,0,0,0,100,100,0,53,47,1,Scotland,0,"433,31%"
Kyshona A Knight,Batter,597,4.799.035.369.774.910,1244,0,32,26,428,428,0,165,263,0,West Indies,0,"323,93%"
RN ten Doeschate,Batter,594,8.709.677.419.354.830,682,20,654,711,73,73,0,22,51,2,Netherlands,29.7,"465,52%"
J Botha,Batter,594,8.272.980.501.392.750,718,77,2839,3673,459,459,0,283,176,0,South Africa,7.714.285.714.285.710,"452,40%"
BMAJ Mendis,Batter,593,8.002.699.055.330.630,741,31,1199,1394,511,511,0,237,274,1,Sri Lanka,19.129.032.258.064.500,"444,19%"
JM Vince,Batter,590,8.651.026.392.961.870,682,1,38,43,519,519,0,295,224,1,England,590,"463,11%"
N de Klerk,Batter,589,7.209.302.325.581.390,817,53,1362,1702,471,471,0,290,181,2,South Africa,1.111.320.754.716.980,"418,03%"
Aayan Afzal Khan,Batter,585,7.395.701.643.489.250,791,43,1202,1801,99,99,0,34,65,3,United Arab Emirates,13.604.651.162.790.600,"424,84%"
FH Allen,Batter,582,913.657.770.800.628,637,0,0,0,431,431,0,224,207,1,New Zealand,0,"477,05%"
P Vastrakar,Batter,579,8.628.912.071.535.020,671,29,1049,1155,568,568,0,351,217,1,India,1.996.551.724.137.930,"463,20%"
TLW Cooper,Batter,576,7.422.680.412.371.130,776,6,282,315,73,73,0,22,51,0,Netherlands,96,"424,78%"
WD Parnell,Batter,574,7.725.437.415.881.560,743,110,3090,3340,461,461,0,284,177,4,South Africa,5.218.181.818.181.810,"435,84%"
BJ Watling,Batter,573,6.662.790.697.674.410,860,0,0,0,440,440,0,228,212,0,New Zealand,0,"398,75%"
WPUJC Vaas,Batter,569,6.733.727.810.650.880,845,118,3317,4806,509,509,0,236,273,4,Sri Lanka,4.822.033.898.305.080,"402,12%"
AR Patel,Batter,568,9.001.584.786.053.880,631,67,2117,2804,580,580,0,360,220,1,India,8.477.611.940.298.500,"473,73%"
L Winfield,Batter,564,7.076.537.013.801.750,797,0,0,0,455,455,0,261,194,0,England,0,"413,79%"
H Deol,Batter,561,7.653.478.854.024.550,733,2,69,87,568,568,0,351,217,2,India,280.5,"433,20%"
MK Pandey,Batter,558,8.942.307.692.307.690,624,0,0,0,559,559,0,347,212,1,India,0,"472,08%"
DD Ebrahim,Batter,555,5.285.714.285.714.280,1050,0,5,2,265,265,0,64,201,0,Zimbabwe,0,"345,79%"
Abdullah Shafique,Batter,554,8.040.638.606.676.340,689,0,0,0,445,445,0,217,228,0,Pakistan,0,"445,34%"
Afif Hossain,Batter,548,8.684.627.575.277.330,631,3,108,105,329,329,0,127,202,1,Bangladesh,18.266.666.666.666.600,"464,41%"
N Deonarine,Batter,546,6.254.295.532.646.040,873,4,368,399,369,369,0,144,225,1,West Indies,136.5,"383,97%"
Babar Hayat,Batter,539,7.196.261.682.242.990,749,0,9,6,16,16,0,5,11,3,Hong Kong,0,"418,15%"
CA Henry,Batter,537,7.638.691.322.901.840,703,33,1105,1354,417,417,0,162,255,1,West Indies,16.272.727.272.727.200,"432,72%"
Sandeep Goud,Batter,535,6.984.334.203.655.350,766,0,80,91,52,52,0,27,25,1,Oman,0,"411,22%"
L Louwrens,Batter,535,5.827.886.710.239.650,918,0,0,0,55,55,0,26,29,0,Namibia,0,"367,70%"
JL Jonassen,Batter,533,8.433.544.303.797.460,632,136,2375,3541,527,527,0,367,160,2,Australia,39.191.176.470.588.200,"457,12%"
Imran Nazir,Batter,531,8.791.390.728.476.820,604,0,0,0,453,453,0,220,233,1,Pakistan,0,"467,43%"
J Mubarak,Batter,531,63.745.498.199.279.700,833,1,44,51,499,499,0,232,267,1,Sri Lanka,531,"389,30%"
CR Brathwaite,Batter,527,8.597.063.621.533.440,613,46,1647,1725,418,418,0,162,256,0,West Indies,11.456.521.739.130.400,"461,88%"
Mosaddek Hossain,Batter,524,80,655,16,904,1016,334,334,0,131,203,1,Bangladesh,32.75,"444,44%"
RJ Peterson,Batter,523,8.223.270.440.251.570,636,76,2280,2798,463,463,0,284,179,0,South Africa,6.881.578.947.368.420,"451,25%"
JP Inglis,Batter,521,9.923.809.523.809.520,525,0,0,0,526,526,0,366,160,0,Australia,0,"498,09%"
Nain Abidi,Batter,521,5.455.497.382.198.950,955,0,0,0,456,456,0,221,235,0,Pakistan,0,"352,74%"
PJ Moor,Batter,520,6.658.130.601.792.570,781,0,0,0,277,277,0,66,211,1,Zimbabwe,0,"399,69%"
K Doriga,Batter,520,5.609.492.988.133.760,927,0,0,0,63,63,0,12,51,0,Papua New Guinea,0,"359,12%"
MA Vermeulen,Batter,517,649.497.487.437.186,796,0,0,0,265,265,0,64,201,1,Zimbabwe,0,"393,46%"
BJ Hodge,Batter,516,8.850.771.869.639.790,583,1,51,66,522,522,0,363,159,1,Australia,516,"469,52%"
CD Wallace,Batter,515,8.612.040.133.779.260,598,0,0,0,101,101,0,54,47,0,Scotland,0,"461,88%"
SV Samson,Batter,510,967.741.935.483.871,527,0,0,0,580,580,0,360,220,2,India,0,"491,80%"
Nizakat Khan,Batter,508,8.089.171.974.522.290,628,3,89,110,16,16,0,5,11,0,Hong Kong,16.933.333.333.333.300,"444,44%"
SL Malinga,Batter,508,7.246.790.299.572.040,701,343,9518,10803,511,511,0,237,274,7,Sri Lanka,14.810.495.626.822.100,"419,83%"
LV van Beek,Batter,505,8.278.688.524.590.160,610,50,1619,1759,86,86,0,25,61,1,Netherlands,10.1,"452,91%"
AN Petersen,Batter,498,8.163.934.426.229.500,610,0,7,9,456,456,0,280,176,0,South Africa,0,"449,05%"
SE Rutherford,Batter,497,11.044.444.444.444.400,450,3,161,115,358,358,0,140,218,1,West Indies,16.566.666.666.666.600,"524,82%"
Shayan Jahangir,Batter,497,8.524.871.355.060.030,583,0,0,0,64,64,0,30,34,0,United States of America,0,"460,19%"
Mominul Haque,Batter,495,7.377.049.180.327.860,671,6,137,157,341,341,0,133,208,0,Bangladesh,82.5,"423,80%"
SM Sharif,Batter,492,697.872.340.425.532,705,89,2497,3099,101,101,0,54,47,2,Scotland,552.808.988.764.045,"411,03%"
JWM Dalrymple,Batter,487,7.193.500.738.552.430,677,15,686,868,508,508,0,291,217,0,England,3.246.666.666.666.660,"418,38%"
AA Obanda,Batter,487,6.917.613.636.363.630,704,0,0,0,39,39,0,13,26,0,Kenya,0,"408,56%"
